"indicator","area_name","area_code","area_type","year","period","numerator","measure","lower_confidence_interval","upper_confidence_interval","definition","data_source"
"Life expectancy, females","East Cairngorms","S02001285","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,86.01,84.01,88.01,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Aboyne & South Deeside","S02001286","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,84.14,82.28,86,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Mearns & Laurencekirk","S02001287","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,80.46,78.51,82.41,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Mearns South & Benholm","S02001288","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.44,81.15,85.74,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Mearns North & Inverbervie","S02001289","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,81.12,78.68,83.55,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Stonehaven South","S02001291","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.55,81.01,84.09,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Stonehaven North","S02001292","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.28,81.4,85.16,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Newtonhill","S02001293","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,85.88,82.93,88.82,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Portlethen","S02001294","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.43,80.03,84.83,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Banchory-Devenick & Findon","S02001295","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,85.84,83.08,88.59,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Dunecht, Durris & Drumoak","S02001296","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,86.78,84.88,88.68,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Banchory East","S02001297","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,89.28,87.19,91.37,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Banchory West","S02001298","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,85.7,83.76,87.63,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Crathes & Torphins","S02001299","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.35,81.32,85.38,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Cromar & Kildrummy","S02001300","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,81.73,79.43,84.02,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Howe of Alford","S02001301","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,84.49,82.76,86.22,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Kemnay","S02001302","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,78.58,75.62,81.54,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Inverurie North","S02001303","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.42,80.68,84.16,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Inverurie South","S02001304","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,80.62,78.2,83.05,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Durno-Chapel of Garioch","S02001305","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,87.09,84.88,89.3,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Kintore","S02001306","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.23,81.2,85.27,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Westhill North & South","S02001308","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.42,81.46,85.39,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Westhill Central","S02001309","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.27,80.48,86.05,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Newmachar & Fintray","S02001311","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,84.36,81.96,86.76,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Balmedie & Potterton","S02001312","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,81.47,79.42,83.51,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Ellon East","S02001313","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,81.97,80.22,83.73,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Ellon West","S02001314","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.66,81.15,84.16,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Ythanside","S02001315","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,86.02,83.92,88.12,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Ythsie","S02001316","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,87.73,85.63,89.83,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Barrahill","S02001317","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.48,81.7,85.25,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Fyvie-Rothie","S02001318","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,85.8,83.26,88.35,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Insch, Oyne & Ythanwells","S02001319","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.93,82.11,85.75,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Clashindarroch","S02001320","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.58,81.42,85.73,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Huntly","S02001321","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,81.04,78.67,83.42,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Turriff","S02001323","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.49,81.57,85.4,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Portsoy, Fordyce & Cornhill","S02001324","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.49,80.76,84.23,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Aberchirder & Whitehills","S02001325","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,84.51,81.99,87.03,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Banff","S02001326","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,79.88,77.4,82.37,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Macduff","S02001327","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,80.51,77.74,83.28,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Gardenstown & King Edward","S02001328","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,81.71,79.49,83.93,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","New Pitsligo","S02001329","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,80.38,77.55,83.21,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Deer & Mormond","S02001330","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.37,81.38,85.36,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Mintlaw","S02001331","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,80.49,77.95,83.03,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Cruden","S02001333","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.25,80.23,84.28,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Peterhead Links","S02001334","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.63,81.45,85.81,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Peterhead Bay","S02001335","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,81.74,79.04,84.44,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Peterhead Harbour","S02001336","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,77.57,75.54,79.61,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Peterhead Ugieside","S02001337","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83,80.28,85.71,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Longside & Rattray","S02001338","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,80.59,78.78,82.4,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Rosehearty & Strathbeg","S02001339","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,84.17,82.31,86.02,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Fraserburgh Smiddyhill","S02001340","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,80.57,78.68,82.46,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Fraserburgh Central-Academy","S02001342","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,81.66,78.55,84.76,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Fraserburgh Harbour & Broadsea","S02001343","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,79,76.24,81.77,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","South Angus","S02001344","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,84.29,81.06,87.53,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Monikie","S02001345","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.28,80.31,84.24,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Monifieth West","S02001346","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.82,78.72,86.92,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Monifieth East","S02001347","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.67,80.72,84.61,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Carnoustie West","S02001348","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.28,81.7,84.87,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Carnoustie East","S02001349","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.43,79.79,85.08,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Arbroath Landward","S02001350","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.4,81.18,85.62,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Arbroath Kirkton","S02001351","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,81.39,79.67,83.1,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Arbroath Keptie","S02001352","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,81.6,79.85,83.34,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Arbroath Harbour","S02001353","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,77.25,74.72,79.77,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Arbroath Cliffburn","S02001354","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,81.72,79.37,84.07,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Arbroath Warddykes","S02001355","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,81.39,79.37,83.42,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Lunan","S02001356","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.1,80.51,85.7,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Montrose South","S02001357","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,81.55,79.58,83.52,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Montrose North","S02001358","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,81.08,78.73,83.43,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Hillside","S02001359","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,84.51,82.49,86.54,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Friockheim","S02001360","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,85.15,81.45,88.85,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Brechin East","S02001361","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,79.87,77,82.75,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Brechin West","S02001362","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.72,80.82,84.62,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Letham & Glamis","S02001363","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.02,79.63,86.4,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Forfar East","S02001364","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.54,80.77,84.31,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Forfar Central","S02001365","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.01,81.02,85.01,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Forfar West","S02001366","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,79.88,77.89,81.87,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Kirriemuir Landward","S02001367","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.06,81.24,84.88,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Kirriemuir","S02001368","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,80.1,77.7,82.51,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Angus Glens","S02001369","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.16,80.17,86.15,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Mull, Iona, Coll & Tiree","S02001370","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,84.62,82.65,86.59,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Oban South","S02001371","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,81.89,79.76,84.01,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Oban North","S02001372","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.26,78.77,85.75,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Benderloch Trail","S02001373","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.06,80.11,84,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Loch Awe","S02001374","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.67,77.46,89.87,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Mid Argyll","S02001375","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,84.72,82.27,87.17,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Greater Lochgilphead","S02001376","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,79.97,77.48,82.46,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Knapdale","S02001377","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,83.29,78.46,88.12,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Whisky Isles","S02001378","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.51,80.24,84.77,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Kintyre Trail","S02001379","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,84.85,82.96,86.73,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Campbeltown","S02001380","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,79.64,77.66,81.61,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Bute","S02001381","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,84.76,83.3,86.23,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Rothesay Town","S02001382","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,80.7,78.69,82.71,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Cowal South","S02001383","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,85.19,82.52,87.87,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Cowal North","S02001384","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,82.86,81.05,84.67,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Hunter's Quay","S02001385","Intermediate zone",2016,"2014 to 2018 (5 year aggregate)",NA,79.82,76.98,82.66,"Years","Public Health Scotland/National Records of Scotland (NRS)"
